county,year,yield_kg_ha,cdstress_bo,cdstress_fl,htstress_fl,tmmx_bo,tmmn_bo,tmean_bo,tmmx_fl,tmmn_fl,tmean_fl,tmmn_gf,tmmx_gf,tmean_gf,tmmn,tmmx,tmean
Sacramento,1988,7397.61,0.0,0.0,0.0,33.53469516806828,15.041322812562402,24.288008990315344,38.49799939704534,19.98096498008514,29.23948218856524,15.17213912506255,33.128050428244755,24.150094776653653,14.71154665100971,32.37337448354105,23.542460567275334
Sacramento,1989,8966.8,0.8925468722771989,0.0,0.0,35.126224621827454,15.461185536564471,25.293705079195963,33.52754127657991,13.72998057844594,23.62876092751292,14.019323232508803,32.247359255498,23.133341244003404,12.952151812307632,30.408903827308603,21.68052781980809
Sacramento,1989,8966.8,0.0,0.2130700411317786,0.8252908041574881,35.126224621827454,15.461185536564471,25.293705079195963,33.52754127657991,13.72998057844594,23.62876092751292,14.019323232508803,32.247359255498,23.133341244003404,12.952151812307632,30.408903827308603,21.68052781980809
Sacramento,1989,8966.8,0.0,0.0,0.0,35.126224621827454,15.461185536564471,25.293705079195963,33.52754127657991,13.72998057844594,23.62876092751292,14.019323232508803,32.247359255498,23.133341244003404,12.952151812307632,30.408903827308603,21.68052781980809
Sacramento,1990,8899.549,0.6790722837766923,0.0,0.0,36.42999977154635,17.907642995307707,27.168821383427023,35.391637967237,14.848929980262389,25.12028397374969,15.854086556406282,33.982527845444174,24.918307200925227,14.44680281885477,31.67218702471292,23.059494921783813
Sacramento,1990,8899.549,0.0,0.0255043273698843,1.7094086033704337,36.42999977154635,17.907642995307707,27.168821383427023,35.391637967237,14.848929980262389,25.12028397374969,15.854086556406282,33.982527845444174,24.918307200925227,14.44680281885477,31.67218702471292,23.059494921783813
Sacramento,1990,8899.549,0.0,0.0,0.0,36.42999977154635,17.907642995307707,27.168821383427023,35.391637967237,14.848929980262389,25.12028397374969,15.854086556406282,33.982527845444174,24.918307200925227,14.44680281885477,31.67218702471292,23.059494921783813
Sacramento,1991,9651.63935,2.446200445806177,0.0,0.0,32.337628701695984,13.807689268424976,23.07265898506048,34.90720779625982,15.294866756269323,25.101037276264574,14.34097071106224,32.49355387692837,23.4172622939953,13.691265887104898,31.70300029434879,22.69713309072681
Sacramento,1991,9651.63935,0.0,0.1518737656830772,4.005201833505237,32.337628701695984,13.807689268424976,23.07265898506048,34.90720779625982,15.294866756269323,25.101037276264574,14.34097071106224,32.49355387692837,23.4172622939953,13.691265887104898,31.70300029434879,22.69713309072681
Sacramento,1991,9651.63935,0.0,0.0,0.0,32.337628701695984,13.807689268424976,23.07265898506048,34.90720779625982,15.294866756269323,25.101037276264574,14.34097071106224,32.49355387692837,23.4172622939953,13.691265887104898,31.70300029434879,22.69713309072681
Sacramento,1992,9433.0736,2.904324701585617,0.0,0.0,31.21316527800017,15.678644000443176,23.44590463922168,35.02255895297164,15.4607688113066,25.24166388213912,15.91639086169741,36.24210767109362,26.07924926639552,14.549462281253644,32.45968742292166,23.50457485208761
Sacramento,1992,9433.0736,0.0,0.0,1.5504710598063454,31.21316527800017,15.678644000443176,23.44590463922168,35.02255895297164,15.4607688113066,25.24166388213912,15.91639086169741,36.24210767109362,26.07924926639552,14.549462281253644,32.45968742292166,23.50457485208761
Sacramento,1992,9433.0736,0.0,0.0,0.0,31.21316527800017,15.678644000443176,23.44590463922168,35.02255895297164,15.4607688113066,25.24166388213912,15.91639086169741,36.24210767109362,26.07924926639552,14.549462281253644,32.45968742292166,23.50457485208761
Sacramento,1993,9419.6234,0.3922109247937726,0.0,0.0,33.87028360291312,15.328595716862193,24.59943965988765,33.373960495889406,16.181444628309663,24.777702562099535,15.687292140018211,33.06456468101025,24.375928410514238,14.452616423332127,31.54750759124704,23.00006200728955
Sacramento,1993,9419.6234,0.0,0.0,0.0907023127105731,33.87028360291312,15.328595716862193,24.59943965988765,33.373960495889406,16.181444628309663,24.777702562099535,15.687292140018211,33.06456468101025,24.375928410514238,14.452616423332127,31.54750759124704,23.00006200728955
Sacramento,1993,9419.6234,0.0,0.0,0.0,33.87028360291312,15.328595716862193,24.59943965988765,33.373960495889406,16.181444628309663,24.777702562099535,15.687292140018211,33.06456468101025,24.375928410514238,14.452616423332127,31.54750759124704,23.00006200728955
Sacramento,1994,9454.36975,1.1667431413728155,0.0,0.0,34.26224342564777,13.969015498610576,24.11562946212917,34.0997613593463,15.450371552435051,24.77506645589068,14.911407135904083,35.36498509580073,25.138196115852413,13.79810200512974,32.11921029054802,22.95865614783884
Sacramento,1994,9454.36975,0.0,0.0,0.4702751982167945,34.26224342564777,13.969015498610576,24.11562946212917,34.0997613593463,15.450371552435051,24.77506645589068,14.911407135904083,35.36498509580073,25.138196115852413,13.79810200512974,32.11921029054802,22.95865614783884
Sacramento,1994,9454.36975,0.0,0.0,0.0,34.26224342564777,13.969015498610576,24.11562946212917,34.0997613593463,15.450371552435051,24.77506645589068,14.911407135904083,35.36498509580073,25.138196115852413,13.79810200512974,32.11921029054802,22.95865614783884
Sacramento,1995,8162.0297,2.896823526261857,0.0,0.0,32.177550915129075,16.18007396112437,24.17881243812672,36.18016058988276,16.877737326383905,26.52894895813333,16.78048874354274,35.215806896571,25.998147820056868,14.537280329688702,31.33740464480089,22.937342487244766
Sacramento,1995,8162.0297,0.0,0.0,14.350337758117584,32.177550915129075,16.18007396112437,24.17881243812672,36.18016058988276,16.877737326383905,26.52894895813333,16.78048874354274,35.215806896571,25.998147820056868,14.537280329688702,31.33740464480089,22.937342487244766
Sacramento,1995,8162.0297,0.0,0.0,0.0,32.177550915129075,16.18007396112437,24.17881243812672,36.18016058988276,16.877737326383905,26.52894895813333,16.78048874354274,35.215806896571,25.998147820056868,14.537280329688702,31.33740464480089,22.937342487244766
Sacramento,1996,8709.0045,0.8100344973425655,0.0,0.0,35.80034914259937,16.565470260031553,26.18290970131546,37.02682530800881,17.51671450615541,27.271769907082117,17.617472560731294,36.79969371202444,27.208583136377875,15.063550612383873,32.965378330899306,24.01446447164155
Sacramento,1996,8709.0045,0.0,0.0,16.677379136777024,35.80034914259937,16.565470260031553,26.18290970131546,37.02682530800881,17.51671450615541,27.271769907082117,17.617472560731294,36.79969371202444,27.208583136377875,15.063550612383873,32.965378330899306,24.01446447164155
Sacramento,1996,8709.0045,0.0,0.0,0.0,35.80034914259937,16.565470260031553,26.18290970131546,37.02682530800881,17.51671450615541,27.271769907082117,17.617472560731294,36.79969371202444,27.208583136377875,15.063550612383873,32.965378330899306,24.01446447164155
Sacramento,1997,9215.6287,8.770787825460213,0.0,0.0,32.40638096652149,14.344163212387,23.37527208945424,34.09784560249961,16.30486419194294,25.201354897221275,16.04576006585365,34.22656426044235,25.136162163148,15.35719972797316,32.145221595662136,23.75121066181761
Sacramento,1997,9215.6287,0.0,0.0,0.0,32.40638096652149,14.344163212387,23.37527208945424,34.09784560249961,16.30486419194294,25.201354897221275,16.04576006585365,34.22656426044235,25.136162163148,15.35719972797316,32.145221595662136,23.75121066181761
Sacramento,1997,9215.6287,0.0,0.0,0.0,32.40638096652149,14.344163212387,23.37527208945424,34.09784560249961,16.30486419194294,25.201354897221275,16.04576006585365,34.22656426044235,25.136162163148,15.35719972797316,32.145221595662136,23.75121066181761
Sacramento,1998,7958.035,0.0,0.0,0.0,35.796134563685804,17.00576425886592,26.40094941127586,35.818525368338975,16.51214644181474,26.16533590507685,15.702478034146504,34.91896045810209,25.310719246124293,14.40625960339182,30.62421556724337,22.515237585317596
Sacramento,1998,7958.035,0.0,0.0,17.540939551144405,35.796134563685804,17.00576425886592,26.40094941127586,35.818525368338975,16.51214644181474,26.16533590507685,15.702478034146504,34.91896045810209,25.310719246124293,14.40625960339182,30.62421556724337,22.515237585317596
Sacramento,1998,7958.035,0.0,0.0,0.0,35.796134563685804,17.00576425886592,26.40094941127586,35.818525368338975,16.51214644181474,26.16533590507685,15.702478034146504,34.91896045810209,25.310719246124293,14.40625960339182,30.62421556724337,22.515237585317596
